map, turns, p1score, p1_dest_list, p2score, p2_dest_list
MegaGame,58,104,[-9, 6, 5],91,[15, 13, -8]
MegaGame,62,71,[4, -7, -11],106,[-10, 20, -6]
MegaGame,60,67,[-12, -13, -10],110,[6, 13, 13]
MegaGame,60,71,[-10, -4, -10],49,[-20, -14, -9]
MegaGame,58,81,[-9, -8, 6],97,[-10, -5, 17]
MegaGame,65,76,[-8, -2, -6],133,[7, 19, 5]
MegaGame,63,68,[-6, -10, -8],135,[12, 10, 11]
MegaGame,57,58,[-6, -10, -4],56,[-19, -13, -14]
MegaGame,62,72,[4, -17, -17],82,[11, -12, -9]
MegaGame,61,86,[-10, -10, 4],23,[-20, -17, -20]
MegaGame,59,79,[-7, 4, -10],88,[-19, -8, 13]
MegaGame,61,91,[7, -8, -10],119,[20, -8, 15]
MegaGame,59,70,[-11, -7, -14],45,[-12, -19, -9]
MegaGame,64,76,[-4, -7, 2],93,[10, -6, -13]
MegaGame,58,81,[7, -11, -7],101,[-12, 13, 19]
MegaGame,63,78,[-8, 5, -11],115,[13, 14, -7]
MegaGame,64,93,[6, -7, -8],122,[17, 7, 6]
MegaGame,59,90,[7, -12, -7],87,[-6, 11, 11]
MegaGame,59,93,[-11, 9, -7],90,[10, 11, -2]
MegaGame,56,62,[-16, -11, -13],82,[-7, 11, 7]
MegaGame,67,77,[-10, -8, -7],97,[13, 5, -6]
MegaGame,63,111,[-10, 13, 6],102,[-13, 13, 10]
MegaGame,60,58,[-11, -13, -13],122,[13, -5, 12]
MegaGame,58,80,[-10, -7, -5],106,[21, 7, -7]
MegaGame,61,83,[-7, -10, -2],83,[-9, 10, 11]
MegaGame,59,112,[-9, 8, 11],26,[-15, -10, -19]
MegaGame,65,80,[-12, -4, 4],146,[11, 14, 19]
MegaGame,59,64,[-9, -7, -5],123,[6, 5, 10]
MegaGame,62,72,[-13, -7, -10],78,[-8, -12, 13]
MegaGame,64,86,[-7, -9, 7],115,[7, 8, 8]
MegaGame,65,96,[-6, 6, -6],104,[-11, 19, 11]
MegaGame,58,55,[-16, -14, -17],94,[19, -9, 13]
MegaGame,60,63,[-10, -11, -8],99,[19, -8, -7]
MegaGame,63,95,[-10, 8, -5],113,[7, 10, 11]
MegaGame,66,75,[-4, -8, -5],125,[17, -7, 20]
MegaGame,65,76,[-13, 7, -13],88,[11, 6, -21]
MegaGame,58,86,[-12, 5, -9],103,[10, 6, 6]
MegaGame,59,72,[-12, -10, -8],109,[11, -4, 17]
MegaGame,59,81,[-7, 4, -8],121,[16, -11, 21]
MegaGame,57,61,[-8, -11, -5],124,[14, 2, 6]
MegaGame,60,80,[-10, -7, -5],123,[13, 5, 13]
MegaGame,62,98,[7, -8, 7],106,[12, 2, -10]
MegaGame,63,64,[-8, -8, -12],100,[20, -11, -11]
MegaGame,63,77,[-9, -8, -8],118,[13, 11, 6]
MegaGame,61,72,[-9, -7, -4],142,[11, 9, 20]
MegaGame,78,68,[-10, -6, -11],133,[7, 13, 11]
MegaGame,62,84,[6, -4, -10],48,[-7, -5, -20]
MegaGame,59,68,[-8, -9, -7],93,[-14, 19, -7]
MegaGame,59,91,[-7, -11, 7],70,[-8, -10, 17]
MegaGame,61,75,[-10, -8, -9],103,[-7, 11, 11]
MegaGame,64,87,[5, -10, -10],113,[-6, 7, 20]
MegaGame,62,72,[-7, -6, -7],114,[6, 21, -8]
MegaGame,63,83,[-10, -9, 10],104,[12, 4, -7]
MegaGame,59,60,[-10, -11, -11],91,[20, -8, -16]
MegaGame,59,95,[-7, -11, 11],88,[-12, -12, 17]
MegaGame,59,104,[8, -4, 8],72,[-7, -10, 9]
MegaGame,58,94,[-8, 7, -7],81,[-10, 14, -8]
MegaGame,66,68,[-11, -12, -11],114,[7, 20, -8]
MegaGame,61,79,[-7, -5, -11],62,[-8, -6, -19]
MegaGame,62,62,[-11, -14, -15],84,[-11, -19, 19]
MegaGame,63,83,[-11, -8, 7],127,[13, 7, 5]
MegaGame,63,104,[-10, 7, 5],49,[-17, -16, 5]
MegaGame,62,68,[6, -14, -16],113,[11, 17, -10]
MegaGame,63,95,[-11, 8, 6],136,[7, 6, 21]
MegaGame,63,117,[4, 5, 6],128,[9, 6, 11]
