map, turns, p1score, p1_dest_list, p2score, p2_dest_list
switzerland,70,72,[-2, -6],71,[13, -10, []]
switzerland,64,78,[[], 3],69,[[], [], 6]
switzerland,66,68,[3, []],63,[10, -8, []]
switzerland,54,79,[2, -3],34,[-3, -14, -8]
switzerland,88,60,[-5, []],70,[[], 7, []]
switzerland,54,84,[7, -3],55,[9, -8, []]
switzerland,82,61,[[], -4],78,[[], 13, []]
switzerland,64,73,[-4, -3],69,[6, [], 5]
switzerland,64,67,[2, []],69,[3, 12, []]
switzerland,76,62,[-3, -5],62,[10, -7, -14]
switzerland,60,71,[-6, []],7,[3, [], []]
switzerland,74,70,[[], []],92,[7, 7, 5]
switzerland,64,51,[-10, -9],81,[8, [], 3]
switzerland,64,88,[5, 3],28,[-13, -10, []]
switzerland,58,72,[[], []],40,[[], 10, -3]
switzerland,66,63,[[], []],75,[7, -6, 8]
switzerland,68,78,[6, 2],79,[13, 3, -10]
switzerland,80,60,[[], []],71,[-5, 13, -3]
switzerland,65,66,[4, -8],27,[-15, [], -5]
switzerland,63,80,[[], 2],62,[5, 8, -3]
switzerland,82,63,[[], -2],72,[9, [], []]
switzerland,70,70,[4, -4],48,[-7, -11, -7]
switzerland,71,70,[[], 5],85,[6, -4, 10]
switzerland,62,78,[-5, 3],61,[[], 3, []]
switzerland,60,75,[-3, []],-4,[[], [], -8]
switzerland,64,68,[[], 3],81,[7, 5, 3]
switzerland,68,75,[[], []],69,[[], 7, []]
switzerland,58,70,[-3, 3],42,[6, -10, -13]
switzerland,58,75,[-3, []],60,[[], [], 5]
switzerland,64,70,[[], 5],49,[-15, 8, -3]
switzerland,62,74,[-3, []],41,[-9, -11, -5]
switzerland,72,63,[-3, -4],73,[13, -10, []]
switzerland,63,71,[4, -3],82,[[], 9, 3]
switzerland,58,82,[4, []],67,[[], 5, []]
switzerland,58,71,[-5, -4],26,[-6, [], -8]
switzerland,60,72,[[], -3],75,[3, 4, 5]
switzerland,57,71,[-3, []],29,[-6, 5, []]
switzerland,68,72,[-3, []],60,[[], 14, -8]
switzerland,84,61,[[], -4],95,[8, 5, 9]
switzerland,66,74,[[], -4],64,[5, 2, []]
switzerland,65,79,[2, []],17,[-15, -8, -5]
switzerland,62,76,[[], -2],23,[-5, 5, []]
switzerland,64,80,[7, 3],57,[13, -6, -9]
switzerland,64,79,[[], 4],58,[-6, -3, 8]
switzerland,58,72,[-3, 5],68,[[], 7, []]
switzerland,62,73,[-5, -2],71,[9, [], []]
switzerland,61,70,[3, []],95,[4, 3, 15]
switzerland,60,74,[-3, []],60,[[], [], 7]
switzerland,64,79,[[], 4],39,[-15, -10, -9]
switzerland,62,78,[2, -4],66,[[], 5, 3]
switzerland,61,68,[-7, []],58,[[], [], []]
switzerland,63,70,[[], []],23,[-7, -13, -6]
switzerland,74,78,[[], 3],58,[[], [], []]
switzerland,72,62,[-3, -5],84,[-10, 14, 7]
switzerland,64,73,[-4, -3],56,[3, [], []]
switzerland,61,72,[-3, []],21,[-5, -14, []]
switzerland,78,72,[[], []],80,[5, [], 8]
switzerland,66,76,[[], -2],62,[8, -12, -7]
switzerland,72,61,[-4, -5],82,[[], 4, 15]
switzerland,60,72,[-3, -5],53,[-9, -7, 10]
switzerland,84,62,[[], -3],69,[-8, 9, -5]
switzerland,71,78,[[], 3],73,[[], 7, 8]
switzerland,92,58,[[], -7],96,[4, 14, 5]
switzerland,68,69,[4, []],47,[-3, [], -10]
switzerland,70,80,[5, []],67,[7, [], 3]
switzerland,62,78,[-7, 5],28,[[], -10, -13]
switzerland,58,74,[-4, []],40,[4, [], 3]
switzerland,58,70,[[], 3],51,[[], -15, 5]
switzerland,80,70,[[], []],67,[[], [], 2]
switzerland,60,70,[-5, -5],26,[7, -4, []]
switzerland,56,83,[5, []],15,[-14, -10, -10]
switzerland,68,71,[3, -2],41,[[], -15, -12]
switzerland,64,88,[5, 3],20,[-4, -9, []]
switzerland,68,72,[-5, []],57,[[], [], []]
switzerland,92,68,[-7, []],76,[[], 5, 4]
switzerland,59,73,[[], []],62,[-9, -5, 10]
switzerland,56,85,[-3, 8],28,[-5, [], 10]
switzerland,82,62,[-3, []],65,[[], 15, -4]
switzerland,78,62,[-5, -3],80,[2, [], 8]
switzerland,64,88,[5, 3],64,[8, [], 3]
switzerland,78,67,[2, []],82,[-10, 7, 12]
switzerland,68,72,[[], []],81,[3, 3, 2]
