map, turns, p1score, p1_dest_list, p2score, p2_dest_list
usa1910,63,66,[-13, -6],89,[-16, 21, -8]
usa1910,61,72,[-6, -7],56,[-5, -21, -10]
usa1910,64,72,[-10, -10],109,[6, 6, 5]
usa1910,77,70,[-7, -8],126,[7, 8, 19]
usa1910,60,74,[-5, -6],127,[10, 14, 11]
usa1910,64,95,[11, -8],115,[7, 8, 8]
usa1910,60,79,[-4, -9],108,[6, 11, 6]
usa1910,60,75,[-5, -5],83,[-11, -19, 21]
usa1910,59,75,[-10, -7],92,[8, 16, -10]
usa1910,67,93,[-6, 7],47,[-6, -5, -19]
usa1910,58,93,[7, -6],128,[10, 21, 5]
usa1910,63,105,[7, 6],91,[-7, 16, 11]
usa1910,63,79,[-6, -7],123,[11, 7, 13]
usa1910,58,79,[-8, -5],114,[15, 14, -7]
usa1910,66,79,[-8, -5],105,[12, -6, 7]
usa1910,62,87,[-10, 5],112,[7, 8, 5]
usa1910,62,82,[-8, 5],26,[-19, -19, -13]
usa1910,58,75,[-4, -6],95,[-5, 21, -13]
usa1910,60,72,[-13, -7],99,[14, 8, -8]
usa1910,62,68,[-10, -14],81,[7, -5, 15]
usa1910,57,65,[-7, -6],115,[6, 10, 7]
usa1910,65,77,[-11, -4],139,[21, 11, 15]
usa1910,58,69,[-9, -14],110,[10, 4, 11]
usa1910,62,90,[7, -9],80,[8, -13, 7]
usa1910,59,79,[-6, -7],112,[13, 10, 11]
usa1910,65,86,[-11, 5],107,[16, 17, -11]
usa1910,61,77,[-7, -8],77,[7, -19, 11]
usa1910,61,76,[-8, -8],87,[12, -10, 14]
usa1910,58,67,[-4, -7],48,[-21, -12, -11]
usa1910,59,76,[-6, -10],48,[-21, -5, -11]
usa1910,57,70,[-10, -12],63,[6, -7, -21]
usa1910,64,89,[7, -10],83,[-11, 19, -10]
usa1910,65,69,[-12, -11],127,[10, 14, 11]
usa1910,60,74,[-11, -7],75,[-17, -8, 15]
usa1910,60,72,[-7, -6],89,[-10, 21, -14]
usa1910,58,66,[-13, -13],111,[7, 5, 7]
usa1910,61,74,[-13, -5],41,[-19, -10, -8]
usa1910,57,88,[4, -8],72,[15, -7, -7]
usa1910,55,45,[-21, -12],118,[5, 11, 10]
usa1910,55,64,[-6, -8],108,[14, -10, 12]
usa1910,63,92,[-8, 8],118,[10, 12, 11]
usa1910,61,106,[8, 6],119,[13, 8, 6]
usa1910,60,64,[-13, -8],126,[10, 17, 7]
usa1910,63,69,[-12, -11],93,[-6, 13, 8]
usa1910,67,86,[6, -12],87,[12, -8, -9]
usa1910,64,73,[-9, -10],126,[19, 5, 10]
usa1910,58,76,[-5, -11],86,[19, -5, -13]
usa1910,65,93,[6, -5],116,[11, 10, 10]
usa1910,59,72,[-13, -7],113,[10, -8, 19]
usa1910,57,66,[-13, -6],115,[13, 6, 4]
usa1910,60,72,[-10, -10],75,[-10, -19, 19]
usa1910,64,72,[-10, -10],96,[-6, 17, 7]
usa1910,59,78,[-6, -8],122,[6, 10, 14]
usa1910,57,74,[-8, -10],83,[14, -8, 6]
usa1910,58,78,[-7, -7],116,[5, 19, 7]
usa1910,58,64,[-7, -7],48,[-17, -8, -19]
usa1910,57,60,[-8, -17],57,[-4, -19, -12]
usa1910,62,81,[-6, -5],81,[19, -14, 5]
usa1910,58,68,[-7, -10],122,[6, 14, 10]
usa1910,65,76,[-6, -10],113,[5, 10, 6]
usa1910,60,89,[-7, 4],94,[11, 6, -8]
usa1910,62,77,[5, -13],122,[10, 12, 8]
usa1910,60,65,[-10, -10],116,[8, 7, 9]
usa1910,56,62,[-8, -8],120,[5, 14, 9]
usa1910,59,58,[-19, -15],71,[-11, -12, 16]
usa1910,61,68,[-15, -9],121,[17, 5, 7]
usa1910,63,75,[-10, -7],95,[-10, 6, 21]
usa1910,58,91,[-8, 7],23,[-21, -11, -15]
usa1910,63,68,[-13, -11],58,[-17, -19, 9]
usa1910,60,95,[-10, 13],59,[5, -19, -12]
usa1910,66,67,[-13, -12],85,[21, -11, -10]
usa1910,63,74,[-8, -10],113,[13, 11, 4]
usa1910,58,90,[-13, 11],98,[12, 7, -6]
usa1910,56,45,[-19, -21],110,[7, 4, 7]
usa1910,63,77,[-4, -11],58,[-12, -10, -5]
usa1910,67,81,[-7, -4],74,[-14, 15, -5]
usa1910,63,76,[-5, -11],77,[-16, -11, 19]
usa1910,59,89,[7, -10],71,[-19, 6, 13]
usa1910,60,70,[-7, -8],114,[4, 8, 10]
usa1910,58,65,[-10, -10],122,[10, 5, 15]
usa1910,62,67,[-8, -17],120,[16, 5, 7]
usa1910,62,73,[-14, -5],86,[-6, 21, -7]
usa1910,61,81,[7, -11],122,[14, 10, 6]
usa1910,65,51,[-14, -6],89,[19, -12, -10]
usa1910,60,73,[-12, -7],87,[16, 7, -14]
usa1910,62,75,[-6, -11],116,[-8, 21, 11]
usa1910,62,89,[-10, 7],90,[10, -6, 15]
usa1910,62,72,[-7, -6],92,[-13, 21, -8]
usa1910,64,61,[-13, -11],118,[10, 6, 10]
usa1910,60,74,[-10, -8],56,[-19, -14, 11]
usa1910,59,74,[-8, -10],82,[5, 13, -14]
